site,location,date,column_position,temp_c,category,,,,,,,
AQUE,outside,38367,bottom,14.56319444,outside_bottom,,MOHK,outside,38637,bottom,14.41902778,outside_bottom
AQUE,outside,38368,bottom,14.52944444,outside_bottom,,MOHK,outside,38638,bottom,14.22055556,outside_bottom
AQUE,outside,38369,bottom,14.38319444,outside_bottom,,MOHK,outside,38639,bottom,14.05458333,outside_bottom
AQUE,outside,38370,bottom,14.37930556,outside_bottom,,MOHK,outside,38640,bottom,13.81236111,outside_bottom
AQUE,outside,38371,bottom,14.53402778,outside_bottom,,MOHK,outside,38641,bottom,13.98888889,outside_bottom
AQUE,outside,38372,bottom,14.62194444,outside_bottom,,MOHK,outside,38642,bottom,13.88263889,outside_bottom
AQUE,outside,38373,bottom,14.79305556,outside_bottom,,MOHK,outside,38643,bottom,14.30027778,outside_bottom
AQUE,outside,38374,bottom,14.84305556,outside_bottom,,MOHK,outside,38644,bottom,14.80388889,outside_bottom
AQUE,outside,38375,bottom,14.70847222,outside_bottom,,MOHK,outside,38645,bottom,14.90652778,outside_bottom
AQUE,outside,38376,bottom,15.00333333,outside_bottom,,MOHK,outside,38646,bottom,15.08069444,outside_bottom
AQUE,outside,38377,bottom,15.13388889,outside_bottom,,MOHK,outside,38647,bottom,15.35583333,outside_bottom
AQUE,outside,38378,bottom,15.23388889,outside_bottom,,MOHK,outside,38648,bottom,15.73930556,outside_bottom
AQUE,outside,38379,bottom,15.23444444,outside_bottom,,MOHK,outside,38649,bottom,15.92347222,outside_bottom
AQUE,outside,38380,bottom,15.11166667,outside_bottom,,MOHK,outside,38650,bottom,16.02222222,outside_bottom
AQUE,outside,38381,bottom,14.43138889,outside_bottom,,MOHK,outside,38651,bottom,16.07402778,outside_bottom
AQUE,outside,38382,bottom,14.10875,outside_bottom,,MOHK,outside,38652,bottom,16.11861111,outside_bottom
AQUE,outside,38383,bottom,14.18069444,outside_bottom,,MOHK,outside,38653,bottom,15.74388889,outside_bottom
AQUE,outside,38384,bottom,14.26486111,outside_bottom,,MOHK,outside,38654,bottom,15.44291667,outside_bottom
AQUE,outside,38385,bottom,14.27597222,outside_bottom,,MOHK,outside,38655,bottom,15.45434211,outside_bottom
AQUE,outside,38386,bottom,14.315,outside_bottom,,MOHK,outside,38656,bottom,15.21847222,outside_bottom
AQUE,outside,38387,bottom,14.16597222,outside_bottom,,MOHK,outside,38657,bottom,15.41819444,outside_bottom
AQUE,outside,38388,bottom,14.10097222,outside_bottom,,MOHK,outside,38658,bottom,14.99777778,outside_bottom
AQUE,outside,38389,bottom,13.98888889,outside_bottom,,MOHK,outside,38659,bottom,15.12694444,outside_bottom
AQUE,outside,38390,bottom,14.01791667,outside_bottom,,MOHK,outside,38660,bottom,15.12041667,outside_bottom
AQUE,outside,38391,bottom,14.10958333,outside_bottom,,MOHK,outside,38661,bottom,15.50458333,outside_bottom
AQUE,outside,38392,bottom,14.22361111,outside_bottom,,MOHK,outside,38662,bottom,15.71694444,outside_bottom
AQUE,outside,38393,bottom,14.37833333,outside_bottom,,MOHK,outside,38663,bottom,15.81652778,outside_bottom
AQUE,outside,38394,bottom,14.60805556,outside_bottom,,MOHK,outside,38664,bottom,16.08416667,outside_bottom
AQUE,outside,38395,bottom,14.78694444,outside_bottom,,MOHK,outside,38665,bottom,16.21055556,outside_bottom
AQUE,outside,38396,bottom,14.74347222,outside_bottom,,MOHK,outside,38666,bottom,16.15236111,outside_bottom
AQUE,outside,38397,bottom,14.68388889,outside_bottom,,MOHK,outside,38667,bottom,16.18597222,outside_bottom
AQUE,outside,38398,bottom,14.52402778,outside_bottom,,MOHK,outside,38668,bottom,16.31513889,outside_bottom
AQUE,outside,38399,bottom,14.59611111,outside_bottom,,MOHK,outside,38669,bottom,16.29333333,outside_bottom
AQUE,outside,38400,bottom,14.70222222,outside_bottom,,MOHK,outside,38670,bottom,16.34666667,outside_bottom
AQUE,outside,38401,bottom,14.78416667,outside_bottom,,MOHK,outside,38671,bottom,16.45819444,outside_bottom
AQUE,outside,38402,bottom,14.95805556,outside_bottom,,MOHK,outside,38672,bottom,16.38611111,outside_bottom
AQUE,outside,38403,bottom,14.92305556,outside_bottom,,MOHK,outside,38673,bottom,16.23694444,outside_bottom
AQUE,outside,38404,bottom,15.03291667,outside_bottom,,MOHK,outside,38674,bottom,16.10222222,outside_bottom
AQUE,outside,38405,bottom,15.09527778,outside_bottom,,MOHK,outside,38675,bottom,15.99972222,outside_bottom
AQUE,outside,38406,bottom,14.94361111,outside_bottom,,MOHK,outside,38676,bottom,15.65888889,outside_bottom
AQUE,outside,38407,bottom,15.13777778,outside_bottom,,MOHK,outside,38677,bottom,15.90388889,outside_bottom
AQUE,outside,38408,bottom,15.13708333,outside_bottom,,MOHK,outside,38678,bottom,16.49180556,outside_bottom
AQUE,outside,38409,bottom,15.1775,outside_bottom,,MOHK,outside,38679,bottom,16.26805556,outside_bottom
AQUE,outside,38410,bottom,15.02222222,outside_bottom,,MOHK,outside,38680,bottom,16.13819444,outside_bottom
AQUE,outside,38411,bottom,15.04069444,outside_bottom,,MOHK,outside,38681,bottom,16.00361111,outside_bottom
AQUE,outside,38412,bottom,15.01222222,outside_bottom,,MOHK,outside,38682,bottom,15.33736111,outside_bottom
AQUE,outside,38413,bottom,14.73416667,outside_bottom,,MOHK,outside,38683,bottom,15.47041667,outside_bottom
AQUE,outside,38414,bottom,14.74208333,outside_bottom,,MOHK,outside,38684,bottom,15.00666667,outside_bottom
AQUE,outside,38415,bottom,14.94513889,outside_bottom,,MOHK,outside,38685,bottom,14.88041667,outside_bottom
AQUE,outside,38416,bottom,14.71388889,outside_bottom,,MOHK,outside,38686,bottom,14.935,outside_bottom
AQUE,outside,38417,bottom,14.80194444,outside_bottom,,MOHK,outside,38687,bottom,14.95819444,outside_bottom
AQUE,outside,38418,bottom,14.71083333,outside_bottom,,MOHK,outside,38688,bottom,14.98458333,outside_bottom
AQUE,outside,38419,bottom,14.73805556,outside_bottom,,MOHK,outside,38689,bottom,14.86416667,outside_bottom
AQUE,outside,38420,bottom,14.44388889,outside_bottom,,MOHK,outside,38690,bottom,14.89430556,outside_bottom
AQUE,outside,38421,bottom,14.39305556,outside_bottom,,MOHK,outside,38691,bottom,14.66222222,outside_bottom
AQUE,outside,38422,bottom,14.65263889,outside_bottom,,MOHK,outside,38692,bottom,14.59527778,outside_bottom
AQUE,outside,38423,bottom,14.99861111,outside_bottom,,MOHK,outside,38693,bottom,14.49736111,outside_bottom
AQUE,outside,38424,bottom,14.32069444,outside_bottom,,MOHK,outside,38694,bottom,14.61402778,outside_bottom
AQUE,outside,38425,bottom,13.6025,outside_bottom,,MOHK,outside,38695,bottom,14.57736111,outside_bottom
AQUE,outside,38426,bottom,13.77847222,outside_bottom,,MOHK,outside,38696,bottom,14.63763889,outside_bottom
AQUE,outside,38427,bottom,13.69944444,outside_bottom,,MOHK,outside,38697,bottom,14.70097222,outside_bottom
AQUE,outside,38428,bottom,13.60902778,outside_bottom,,MOHK,outside,38698,bottom,14.72083333,outside_bottom
AQUE,outside,38429,bottom,13.75583333,outside_bottom,,MOHK,outside,38699,bottom,14.66291667,outside_bottom
AQUE,outside,38430,bottom,14.30416667,outside_bottom,,MOHK,outside,38700,bottom,14.49597222,outside_bottom
